IdRun;NameConv;Time(ms);std;NbMicroKernel;AxeFuse;SizeAxeFuse;Schema
0;MobilNet_1;1.4021946533333334;0.4545646580359773;2;axe_yy1_0,axe_xx1_1;14;[V f, U (2, f), ULambda y, T (16, c), Hoist_vars [c], T (2, x), T (3, w),  T (3, h), T (4, x),  Lambda_apply y [((Iter 3), (Arg 8)), ((Iter 8), (Arg 11))], T (2, c),  T (14, x)]
1;MobilNet_1;3.6892552000000003;0.6541057008289495;2;axe_yy1_0,axe_xx1_1;19;[V f, U (2, f), ULambda y, T (2, c), Hoist_vars [c], T (1, x), T (3, w),  T (3, h), T (14, x),  Lambda_apply y [((Iter 5), (Arg 12)), ((Iter 4), (Arg 13))], T (16, c),  T (8, x)]
2;MobilNet_1;3.658635493333333;0.4686180396270941;2;axe_yy1_0,axe_xx1_1;28;[V f, U (2, f), ULambda y, T (8, c), Hoist_vars [c], T (1, x), T (3, w),  T (3, h), T (4, x),  Lambda_apply y [((Iter 1), (Arg 8)), ((Iter 8), (Arg 13))], T (4, c),  T (28, x)]
3;MobilNet_1;4.352753213333333;1.2271621579861804;2;axe_yy1_0,axe_xx1_1;8;[V f, U (2, f), ULambda y, T (8, c), Hoist_vars [c], T (14, x), T (3, w),  T (3, h), T (1, x),  Lambda_apply y [((Iter 7), (Arg 10)), ((Iter 3), (Arg 14))], T (4, c),  T (8, x)]
4;MobilNet_1;3.264034816666667;0.35390365076523267;2;axe_yy1_0,axe_xx1_1;14;[V f, U (2, f), ULambda y, T (4, c), Hoist_vars [c], T (4, x), T (3, w),  T (3, h), T (2, x),  Lambda_apply y [((Iter 9), (Arg 10)), ((Iter 2), (Arg 11))], T (8, c),  T (14, x)]
5;MobilNet_1;2.13058831;0.5536131127705523;2;axe_yy1_0,axe_xx1_1;9;[V f, U (2, f), ULambda y, T (4, c), Hoist_vars [c], T (2, x), T (3, w),  T (3, h), T (8, x),  Lambda_apply y [((Iter 1), (Arg 8)), ((Iter 8), (Arg 13))], T (8, c),  T (7, x)]
6;MobilNet_1;5.8126011533333335;0.174641299139955;2;axe_yy1_0,axe_xx1_1;28;[V f, U (2, f), ULambda y, T (4, c), Hoist_vars [c], T (2, x), T (3, w),  T (3, h), T (2, x),  Lambda_apply y [((Iter 3), (Arg 8)), ((Iter 8), (Arg 11))], T (8, c),  T (28, x)]
7;MobilNet_1;4.1406979800000006;0.4592017172559203;2;axe_yy1_0,axe_xx1_1;56;[V f, U (2, f), ULambda y, T (16, c), Hoist_vars [c], T (1, x), T (3, w),  T (3, h), T (2, x),  Lambda_apply y [((Iter 5), (Arg 8)), ((Iter 8), (Arg 9))], T (2, c),  T (56, x)]
8;MobilNet_1;0.6971193033333334;0.11032911018876047;2;axe_yy1_0,axe_xx1_1;17;[V f, U (2, f), ULambda y, T (8, c), Hoist_vars [c], T (14, x), T (3, w),  T (3, h), T (8, x),  Lambda_apply y [((Iter 9), (Arg 10)), ((Iter 2), (Arg 11))], T (4, c),  T (1, x)]
9;MobilNet_1;22.00514372;1.2235737414194425;2;axe_yy1_0,axe_xx1_1;28;[V f, U (2, f), ULambda y, T (1, c), Hoist_vars [c], T (4, x), T (3, w),  T (3, h), T (1, x),  Lambda_apply y [((Iter 9), (Arg 10)), ((Iter 2), (Arg 11))], T (32, c),  T (28, x)]
